time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1659103341510000000,0.184000244140625,0,0,1,17.976999282836914,0,90,107,10.7242409,59.9356949
1659103346565000000,5.239,0,0,1,19.069000244140625,2.7080492973327637,265.6257019042969,106.5,10.7239332,59.9356831
1659103349742962700,8.416962646484375,0,1.8943336009979248,1.0317796468734741,27.079999923706055,1.290064811706543,303.1549072265625,106.5,10.7238944,59.9357097
1659103350742339800,9.41633984375,0,1.3393281698226929,1.0417734384536743,29.749000549316406,1.1097919940948486,344.6967468261719,106.5,10.7239223,59.935727
1659103351742580200,10.416580322265625,0,1.3815932273864746,1.0517758131027222,34.13800048828125,0.7886990904808044,346.5525817871094,106.5,10.7239233,59.935728
1659103352742609000,11.41660888671875,0,1.2215564250946045,1.061776041984558,34.3650016784668,0.6344021558761597,2.412292242050171,106.5,10.7239322,59.935731
1659103353742607000,12.416607177734376,0,1.1673046350479126,1.015586018562317,31.906999588012695,1.9581562280654907,115.64238739013672,107,10.724039,59.9356948
1659103354742601200,13.416601318359374,0,1.140394687652588,1.0255860090255737,30.024999618530273,1.9372334480285645,124.48133087158203,107,10.7240624,59.935681
1659103355742040300,14.416040283203126,0,1.521610975265503,1.0355803966522217,28.25200080871582,1.4804407358169556,130.21490478515625,107,10.7240697,59.9356744
1659103356742395400,15.4163955078125,0,1.3186736106872559,1.045583963394165,25.93400001525879,0.9707082509994507,123.01365661621094,107,10.7240754,59.9356757
1659103357742371300,16.416371337890624,0,0.7134423851966858,1.0555837154388428,21.486000061035156,0.4267107844352722,140.9095916748047,107,10.7240646,59.9356756
1659103358742447400,17.416447265625,0,0.6529930830001831,1.0170444250106812,17.625999450683594,0.7989391684532166,95.53645324707031,107.0999984741211,10.7240963,59.9356775
1659103359742283000,18.416282958984375,0,0.5547071099281311,1.0270428657531738,16.444000244140625,0.5641725063323975,76.50406646728516,107.0999984741211,10.724101,59.9356809
1659103360743020500,19.4170205078125,0,0.3061045706272125,1.0370502471923828,14.447999954223633,0.3799827992916107,22.269851684570312,107.0999984741211,10.7240959,59.9356861
1659103361742359000,20.416359130859377,0,0.4833218455314636,1.0470435619354248,13.651000022888184,0.2453736811876297,4.259610176086426,107.0999984741211,10.7240939,59.9356873
1659103362742198000,21.416197998046876,0,0.3328663408756256,1.0570420026779175,11.220999717712402,0.27769187092781067,337.1101989746094,107.0999984741211,10.7240897,59.9356897
1659103363742659000,22.4166591796875,0,0.3328663408756256,1.0670466423034668,9.255999565124512,0.19250229001045227,141.41329956054688,107.0999984741211,10.7240958,59.9356848
1659103364743073500,23.417073486328125,0,0.6854195594787598,1.0282907485961914,8.652999877929688,0.48514312505722046,92.28547668457031,107.0999984741211,10.7241255,59.9356845
1659103365742802000,24.416802001953126,0,0.7971197962760925,1.0382879972457886,8.619000434875488,0.24143336713314056,17.928279876708984,107.0999984741211,10.724122,59.9356881
1659103366742926600,25.416926513671875,0,0.3498571217060089,1.0482892990112305,8.25100040435791,0.11157825589179993,44.30328369140625,107.0999984741211,10.7241235,59.9356876
1659103367742308600,26.41630859375,0,0.35468295216560364,1.0582830905914307,7.980000019073486,0.19588340818881989,120.38140869140625,107.0999984741211,10.724128,59.9356853
1659103368742798800,27.416798828125,0,0.4750789403915405,1.068287968635559,7.611000061035156,0.4525115489959717,142.1103515625,107.0999984741211,10.7241347,59.93568
1659103369742215700,28.416215576171876,0,0.37643060088157654,1.0303821563720703,7.21999979019165,0.06977049261331558,19.6890926361084,107,10.7241374,59.9356818
1659103370742998000,29.416998046875,0,0.4000000059604645,1.0403900146484375,6.633999824523926,0.03226684033870697,35.49093246459961,107,10.7241377,59.9356819
1659103371742460700,30.416460693359376,0,0.3330165147781372,1.0503846406936646,6.394000053405762,0.13355790078639984,127.12190246582031,107,10.7241407,59.9356805
1659103372742912300,31.416912353515624,0,0.6762396097183228,1.0603891611099243,5.689000129699707,0.08154690265655518,129.56475830078125,107,10.7241412,59.9356802
1659103373742323000,32.41632299804687,0,0.37643060088157654,1.0703831911087036,5.639999866485596,0.03163151070475578,123.37127685546875,107,10.7241412,59.9356803
1659103374742780000,33.41677978515625,0,0.3827531933784485,1.0273977518081665,5.269000053405762,0.4586435556411743,95.02515411376953,107.0999984741211,10.7241681,59.9356792
1659103375742469600,34.4164697265625,0,0.653911292552948,1.037394642829895,5.211999893188477,0.20368283987045288,94.78269958496094,107.0999984741211,10.7241698,59.9356792
1659103376742903600,35.41690356445312,0,0.33970576524734497,1.0473990440368652,5.070000171661377,0.12876567244529724,111.58341979980469,107.0999984741211,10.7241709,59.9356786
1659103377742477000,36.41647705078125,0,0.3252691328525543,1.0573947429656982,4.890999794006348,0.23541130125522614,131.44886779785156,107.0999984741211,10.7241748,59.9356764
1659103378742310400,37.416310302734374,0,0.3538361191749573,1.0673930644989014,4.73799991607666,0.04813853278756142,329.77166748046875,107.0999984741211,10.7241717,59.9356781
1659103379743051300,38.41705126953125,0,0.5382378697395325,1.0274704694747925,4.4720001220703125,0.03757496550679207,259.65972900390625,106.5,10.7241695,59.9356779
1659103380742902500,39.416902587890625,0,0.5060632228851318,1.0374690294265747,4.386000156402588,0.20308612287044525,138.4012451171875,106.5,10.7241733,59.9356759
1659103381742572500,40.41657250976562,0,0.39204591512680054,1.0474656820297241,4.386000156402588,0.2182842642068863,144.87594604492188,106.5,10.7241754,59.9356742
1659103382742367500,41.41636743164062,0,0.3841874599456787,1.0574636459350586,4.375,0.13028089702129364,146.21592712402344,106.5,10.724176,59.9356736
1659103383742833200,42.41683325195312,0,0.27202939987182617,1.067468285560608,4.4019999504089355,0.12487784028053284,148.30970764160156,106.5,10.7241771,59.9356727
1659103384742249700,43.416249755859376,0,0.45694637298583984,1.0270024538040161,4.4079999923706055,0.28313520550727844,75.59944915771484,107.0999984741211,10.7241926,59.9356753
1659103385742246000,44.416245849609375,0,0.6536818742752075,1.037002444267273,4.478000164031982,0.12705184519290924,75.21733093261719,107.0999984741211,10.7241936,59.9356755
1659103386742725000,45.41672509765625,0,0.5768882036209106,1.0470072031021118,4.605000019073486,0.05437084287405014,12.04139232635498,107.0999984741211,10.7241924,59.9356761
1659103387742325800,46.41632568359375,0,0.7130918502807617,1.0570032596588135,4.797999858856201,0.3041386604309082,339.3919372558594,107.0999984741211,10.724189,59.9356801
1659103388742832600,47.41683251953125,0,0.48373547196388245,1.067008376121521,5.050000190734863,0.1949697881937027,338.2904968261719,107.0999984741211,10.7241882,59.935681
1659103389742249700,48.416249755859376,0,0.3841874599456787,1.0262024402618408,5.320000171661377,0.38779929280281067,252.3594970703125,106.5,10.7241676,59.9356765
1659103390742527200,49.41652734375,0,0.33941125869750977,1.0362052917480469,5.598999977111816,0.2387228012084961,215.39651489257812,106.5,10.7241671,59.9356744
1659103391742139600,50.4161396484375,0,0.2121320366859436,1.0462013483047485,5.581999778747559,0.10604498535394669,210.33348083496094,106.5,10.7241672,59.9356743
1659103392742380800,51.416380859375,0,0.31144821643829346,1.056203842163086,5.638999938964844,0.09919106960296631,176.25941467285156,106.5,10.7241681,59.9356733
1659103393742835700,52.416835693359374,0,0.3623534142971039,1.0662083625793457,5.639999866485596,0.05555778369307518,166.9163818359375,106.5,10.7241685,59.9356732
1659103394742745300,53.416745361328125,0,0.47707441449165344,1.0263274908065796,5.820000171661377,0.29181963205337524,71.49300384521484,107.0999984741211,10.7241844,59.9356762
1659103395742915800,54.416915771484376,0,0.264007568359375,1.0363291501998901,5.947000026702881,0.1411215364933014,53.03798294067383,107.0999984741211,10.7241849,59.9356769
1659103396742199600,55.416199462890624,0,0.2408318966627121,1.046321988105774,6.136000156402588,0.05291064456105232,59.33112716674805,107.0999984741211,10.7241848,59.9356768
1659103397742797000,56.416797119140625,0,0.4000000059604645,1.0563279390335083,6.401000022888184,0.01650693267583847,67.53313446044922,107.0999984741211,10.7241846,59.9356767
1659103398742303500,57.416303466796876,0,0.48270073533058167,1.0663230419158936,6.459000110626221,0.009292032569646835,124.53316497802734,107.0999984741211,10.7241847,59.9356765
1659103399742717000,58.41671704101562,0,0.3841874599456787,1.0184972286224365,6.5279998779296875,0.1951438933610916,66.35649108886719,107.0999984741211,10.7241926,59.9356783
1659103400742534100,59.4165341796875,0,0.52801513671875,1.0284953117370605,6.586999893188477,0.11866080015897751,68.30571746826172,107.0999984741211,10.7241937,59.9356785
1659103401742452200,60.4164521484375,0,0.25612497329711914,1.0384944677352905,6.572000026702881,0.05067424476146698,69.47774505615234,107.0999984741211,10.7241937,59.9356785
1659103402742701800,61.41670190429687,0,0.4022437036037445,1.048496961593628,6.553999900817871,0.016342768445611,87.61914825439453,107.0999984741211,10.7241935,59.9356784
1659103403743116500,62.41711645507812,0,0.5110772848129272,1.058501124382019,6.447999954223633,0.012873485684394836,162.59841918945312,107.0999984741211,10.7241934,59.9356782
1659103404742581000,63.4165810546875,0,0.41231057047843933,1.0263258218765259,7.196000099182129,0.13456661999225616,274.0428161621094,106.5,10.7241855,59.9356785
1659103405742401000,64.41640112304688,0,0.4000000059604645,1.0363240242004395,7.923999786376953,0.11889789253473282,273.1827392578125,106.5,10.7241836,59.9356785
1659103406743062000,65.41706201171876,0,0.3361547291278839,1.0463305711746216,9.04800033569336,0.07193975895643234,272.7701721191406,106.5,10.7241832,59.9356785
1659103407742216700,66.416216796875,0,0.3935733735561371,1.0563222169876099,9.866999626159668,0.034266166388988495,266.3468017578125,106.5,10.7241833,59.9356784
1659103408742582500,67.41658251953125,0,0,1.0663257837295532,12.08899974822998,1.7423549890518188,270.44696044921875,106.5,10.7241156,59.9356787
1659103409742664200,68.41666430664063,0,0,1.0214766263961792,14.651000022888184,1.3738409280776978,49.08893585205078,107,10.7242376,59.9357115
1659103410742792000,69.4167919921875,0,0,1.031477928161621,15.531000137329102,1.3164331912994385,57.36857223510742,107,10.7242594,59.9357153
1659103411742802200,70.41680224609375,0,0,1.0414780378341675,15.678999900817871,0.9390654563903809,61.48601531982422,107,10.7242672,59.935716
1659103412743052500,71.41705249023437,0,0,1.0514805316925049,17.264999389648438,0.5806208252906799,64.33773040771484,107,10.7242688,59.9357158
1659103413742483500,72.4164833984375,0,0,1.0614748001098633,17.190000534057617,0.3292153775691986,65.82991790771484,107,10.7242683,59.9357154
